OBJECTID,ADDRESS,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,TOWN,TOWN_ID,ZIPCODE,STATUS
323070705,246 ASH STREET,246,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070708,248 ASH STREET,248,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070710,252 ASH STREET,252,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070711,253 ASH STREET,253,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070730,283-285 ASH STREET,283-285,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070731,284 ASH STREET,284,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070733,286-288 ASH STREET,286-288,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323086168,107-109 SOUTH STREET,107-109,SOUTH STREET,,,,WALTHAM,308,02453,ACTIVE
323086924,4009 STEARNS HILL ROAD,4009,STEARNS HILL ROAD,,WINDSOR VILLAGE,,WALTHAM,308,02451,ACTIVE
323086907,3904 STEARNS HILL ROAD,3904,STEARNS HILL ROAD,,WINDSOR VILLAGE,,WALTHAM,308,02451,ACTIVE
323086910,3907 STEARNS HILL ROAD,3907,STEARNS HILL ROAD,,WINDSOR VILLAGE,,WALTHAM,308,02451,ACTIVE
323086912,3909 STEARNS HILL ROAD,3909,STEARNS HILL ROAD,,WINDSOR VILLAGE,,WALTHAM,308,02451,ACTIVE
323086928,4013 STEARNS HILL ROAD,4013,STEARNS HILL ROAD,,WINDSOR VILLAGE,,WALTHAM,308,02451,ACTIVE
323087808,126 TOTTEN POND ROAD,126,TOTTEN POND ROAD,,,,WALTHAM,308,02451,ACTIVE
323087795,54 TOTTEN POND ROAD,54,TOTTEN POND ROAD,,,,WALTHAM,308,02451,ACTIVE
323087796,62 TOTTEN POND ROAD,62,TOTTEN POND ROAD,,,,WALTHAM,308,02451,ACTIVE
323087803,104 TOTTEN POND ROAD,104,TOTTEN POND ROAD,,,,WALTHAM,308,02451,ACTIVE
323087826,230 TOTTEN POND ROAD,230,TOTTEN POND ROAD,,,,WALTHAM,308,02451,ACTIVE
323087828,232 TOTTEN POND ROAD,232,TOTTEN POND ROAD,,,,WALTHAM,308,02451,ACTIVE
323087837,375 TOTTEN POND ROAD,375,TOTTEN POND ROAD,,,,WALTHAM,308,02451,ACTIVE
323087839,379-395 TOTTEN POND ROAD,379-395,TOTTEN POND ROAD,,,,WALTHAM,308,02451,LINKED
323087841,393 TOTTEN POND ROAD,393,TOTTEN POND ROAD,,,,WALTHAM,308,02451,ACTIVE
