STREETNAME,zone,whole_street_in_zone,lowest_number_on_segment,highest_number_on_segment,notes
MOUNTAIN ROAD,1,TRUE,,,
MULDOON'S COURT,10,TRUE,,,
MUNROE AVENUE,9,TRUE,,,
MUNSTER TERRACE,9,TRUE,,,
MURRAY STREET,14,TRUE,,,
MUSIC HALL AVENUE,9,TRUE,,,
MYRTLE STREET,13,TRUE,,,
NANCY LANE,2,TRUE,,,
NATHAN ROAD,8,TRUE,,,
NAVIENS LANE,10,TRUE,,,
NEIGHBORS LANE,7,TRUE,,,
NEWBURGH STREET,2,TRUE,,,
NEWTON STREET,9,TRUE,,,
NEWTON STREET,10,TRUE,,,
NEWTON STREET,13,TRUE,,,
NOONAN STREET,9,TRUE,,,
NORUMBEGA TERRACE,12,TRUE,,,
NOTTINGHAM STREET,2,TRUE,,,
NUTTING ROAD,4,TRUE,,,
OAK HILL ROAD,8,TRUE,,,
OAK ROAD,1,TRUE,,,
OAK STREET,10,TRUE,,,
OAKLEDGE ROAD,2,TRUE,,,
OAKLEY LANE,5,TRUE,,,
ODE STREET,4,TRUE,,,
OLD CONANT CIRCLE,1,TRUE,,,
OLD CONANT ROAD,1,TRUE,,,
OLD COUNTY ROAD,1,TRUE,,,
OLD LEXINGTON ROAD,2,TRUE,,,
OLD SOUTH STREET,12,TRUE,,,
ORANGE STREET,12,TRUE,,,
ORCHARD AVENUE,5,TRUE,,,
OUTLOOK ROAD,1,TRUE,,,
OVERLAND ROAD,8,TRUE,,,
OVERLOOK ROAD,4,TRUE,,,
PALMER STREET,9,TRUE,,,
PARK PLACE,9,TRUE,,,
PARK STREET,12,TRUE,,,
PARKERS LANE,10,TRUE,,,
PARKVIEW ROAD,7,TRUE,,,
PARMENTER ROAD,13,TRUE,,,
PARMENTER ROAD (NEWTON),-1,TRUE,,,newton
PARSONS AVENUE,7,TRUE,,,
PARTRIDGE CIRCLE,1,TRUE,,,
PEARL STREET,8,TRUE,,,
PEIRCE STREET,10,TRUE,,,
PELHAM ROAD,7,TRUE,,,
PHEASANT ROAD,1,TRUE,,,
PHILIPS TERRACE,8,TRUE,,,
PHILLIPS CIRCLE,7,TRUE,,,
PIEDMONT AVENUE,4,TRUE,,,
PIETY CORNER ROAD,5,TRUE,,,
PIGEON LANE,2,TRUE,,,
PINE HILL CIRCLE,4,TRUE,,,
PINE STREET,10,TRUE,,,
PINE VALE ROAD,1,TRUE,,,
PLANT ROAD,1,TRUE,,,
PLEASANT AVENUE,8,TRUE,,,
PLEASANT STREET,5,TRUE,,,
PLYMPTON AVENUE,5,TRUE,,,
PLYMPTON CIRCLE,5,TRUE,,,
PLYMPTON STREET,5,FALSE,0,117,
PLYMPTON STREET,8,FALSE,118,10000,
POND END ROAD,5,TRUE,,,
POND END SCHOOL LANE,4,TRUE,,,
POND STREET,5,TRUE,,,
POND STREET COURT,5,TRUE,,,
PORTER ROAD,2,TRUE,,,
POTTER ROAD,10,TRUE,,,
PRATT AVENUE,12,TRUE,,,
PRENTICE STREET,8,TRUE,,,
PRINCETON AVENUE,4,FALSE,29,10000,
PRINCETON AVENUE,1,FALSE,0,28,
PRISCILLA LANE,1,TRUE,,,
PROSPECT HILL AVENUE,9,TRUE,,,
PROSPECT HILL ROAD,8,TRUE,,,
PROSPECT STREET,12,TRUE,,,may be split across street?
PROSPECT STREET AVENUE,12,TRUE,,,
PUTNAM STREET,5,TRUE,,,
PUTNEY LANE,2,TRUE,,,
RAFFAELE DRIVE,2,TRUE,,,
RANDALL STREET,12,TRUE,,,
RANDO LANE,5,TRUE,,,
RANGELY ROAD,10,TRUE,,,
RAVENSWOOD ROAD,8,TRUE,,,
RESERVOIR ROAD,12,TRUE,,,
REYEM STREET,9,TRUE,,,
RICH STREET,9,TRUE,,,
RICHGRAIN AVENUE,10,TRUE,,,
RIDGE LANE,1,TRUE,,,
RIDGEWOOD TERRACE,12,TRUE,,,
RIPLEY STREET,10,TRUE,,,
RIVER AVENUE,10,TRUE,,,
RIVER STREET,10,TRUE,,,
RIVERSIDE DRIVE,12,TRUE,,,
RIVERVIEW AVENUE,12,TRUE,,,
ROBBINS PLACE,13,TRUE,,,
ROBBINS STREET,12,FALSE,0,115,
ROBBINS STREET,13,FALSE,116,10000,
ROBERT TREAT PAINE DRIVE,5,TRUE,,,
ROBERTS ROAD,12,TRUE,,,
ROCK LANE,5,TRUE,,,
ROCKRIDGE ROAD,8,TRUE,,,
ROGERS WAY,2,TRUE,,,
ROSE HILL WAY,7,TRUE,,,
ROSEANNA PARK DRIVE,2,TRUE,,,
ROSEMONT AVENUE,4,TRUE,,,
ROSEWOOD DRIVE,2,TRUE,,,
ROYAL STREET,2,TRUE,,,
RUMFORD AVENUE,12,TRUE,,,
RUMFORD AVENUE (NEWTON),-1,TRUE,,,newton
RUSSELL STREET,9,FALSE,0,92,
RUSSELL STREET,12,FALSE,93,10000,
RUTLEDGE TERRACE,2,TRUE,,,
SACHEM STREET,4,TRUE,,,
SAGAMORE WAY,12,TRUE,,,
SAMOSET LANE,5,TRUE,,,
SANDERS LANE,5,TRUE,,,
SANDERSON ROAD,5,TRUE,,,
SARTELL ROAD,8,TRUE,,,
SAWYER ROAD,12,TRUE,,,
SCHOOL AVENUE,10,TRUE,,,
SCHOOL STREET,9,TRUE,,,
SECOND AVENUE,3,TRUE,,,
SEMINOLE AVENUE,1,FALSE,91,10000,
SEMINOLE AVENUE,4,FALSE,0,90,
SEYON STREET,10,TRUE,,,
SHADE STREET,2,TRUE,,,
SHAKESPEARE ROAD,12,TRUE,,,
SHARON STREET,12,TRUE,,,
SHAWMUT ROAD,7,TRUE,,,
SHEFFIELD ROAD,1,TRUE,,,
SHERBOURNE PLACE,1,TRUE,,,
SHERIDAN ROAD,8,TRUE,,,
SHERWOOD LANE,2,TRUE,,,
SHIRLEY ROAD,7,TRUE,,,
SHORE ROAD,1,TRUE,,,
SIBLEY ROAD,8,TRUE,,,
SILVER HILL LANE,1,TRUE,,,
SIOUX AVENUE,1,TRUE,,,
SMART STREET,4,TRUE,,,
